Period,Open,High,Low,Close
2024-09-25,12542.720000,12558.690000,12495.860000,12517.818582
2024-09-24,12529.560000,12544.380000,12466.860000,12541.088674
2024-09-23,12495.030000,12524.460000,12478.220000,12509.614058
2024-09-20,12489.950000,12500.940000,12413.170000,12474.442568
2024-09-19,12474.510000,12541.690000,12439.280000,12498.592954
2024-09-18,12340.500000,12443.730000,12283.420000,12289.263731
2024-09-17,12370.520000,12403.360000,12280.090000,12324.745541
2024-09-16,12282.110000,12327.130000,12259.370000,12321.210491
2024-09-13,12253.690000,12325.540000,12250.300000,12303.262990
2024-09-12,12151.370000,12245.720000,12103.290000,12235.060559
2024-09-11,12017.660000,12157.160000,11822.460000,12143.848897
2024-09-10,12004.620000,12020.690000,11898.340000,12015.574301
2024-09-09,11898.400000,11990.500000,11881.950000,11961.744828
2024-09-06,12039.760000,12072.870000,11810.890000,11823.570443
2024-09-05,12066.150000,12123.440000,11980.260000,12029.718720
2024-09-04,12036.430000,12137.650000,12029.840000,12065.690748
2024-09-03,12292.100000,12292.100000,12031.920000,12084.565299
2024-08-30,12266.520000,12349.530000,12199.290000,12344.432417
2024-08-29,12252.900000,12339.520000,12201.500000,12219.383065
2024-08-28,12289.880000,12294.890000,12152.100000,12219.230919
2024-08-27,12242.570000,12304.380000,12222.280000,12292.636004
2024-08-26,12321.950000,12347.660000,12240.860000,12272.083643
2024-08-23,12240.470000,12326.280000,12202.800000,12310.628718
2024-08-22,12317.370000,12328.500000,12150.300000,12170.711404
2024-08-21,12241.380000,12305.980000,12216.660000,12280.180539
2024-08-20,12240.370000,12278.450000,12202.570000,12227.799312
2024-08-19,12140.290000,12251.780000,12126.540000,12251.742679
2024-08-16,12080.600000,12149.300000,12068.950000,12132.477125
2024-08-15,12014.780000,12113.250000,12014.780000,12106.682262
2024-08-14,11882.970000,11928.510000,11826.200000,11911.023611
2024-08-13,11739.850000,11869.810000,11739.850000,11865.291048
2024-08-12,11684.950000,11726.820000,11625.610000,11668.585409
2024-08-09,11602.090000,11697.950000,11572.550000,11666.494943
2024-08-08,11465.170000,11629.880000,11425.050000,11610.837139
2024-08-07,11553.600000,11635.060000,11341.080000,11349.243491
2024-08-06,11363.970000,11594.960000,11336.380000,11437.318641
2024-08-05,11243.150000,11460.700000,11174.640000,11319.961415
2024-08-02,11734.820000,11750.440000,11571.990000,11669.184481
